,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
0,B001,B,0.896,American Playground,Playground,2.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,50,American Playground,23,8067515.59579,14334,1592,11158,1581,1744,1850,3037,6633,11724,180,38,1051,13,872,457,2148
1,B002,B,3.557,Amersfort Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,Amersfort Park,35,17343590.5349,28485,7440,17158,3888,2579,3195,3588,9364,6093,18045,116,2221,9,976,1032,2573
2,B003,B,1.711,Bartel-Pritchard Square,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,Bartel-Pritchard Square,29,10280860.1773,21253,4141,14682,2428,1651,1907,5744,9300,16639,777,53,1900,7,922,957,2927
3,B006,B,0.012,Beattie Square,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,Beattie Square,43,13976179.6994,30889,8114,19444,3328,5439,3048,2363,10855,8095,11846,345,1479,16,7625,1475,15498
4,B007,B,17.5,Bensonhurst Park,Recreation Field/Courts,6.0,8.0,4.0,3.0,0.0,7.0,0.0,1.0,128,Bensonhurst Park,29,11479877.9484,25077,5076,14962,5041,4228,2679,2463,9370,13871,340,65,8894,14,1413,480,2685
5,B008,B,10.555,Betsy Head Park,Community Park,12.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,132,Betsy Head Park,55,17539517.3906,42550,13567,24458,4526,8240,3853,2366,14456,2544,33905,299,628,19,3638,1519,9042
6,B010,B,47.57,Brooklyn Botanic Garden,Buildings/Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,Brooklyn Botanic Garden,54,16338511.6582,49419,10127,32798,6492,7190,5908,8468,21567,15738,27013,157,2386,25,1747,2346,5206
7,B012,B,7.047,Brower Park,Neighborhood Park,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,177,Brower Park,56,18347010.2408,45028,11354,27867,5812,7943,5263,4326,17532,7768,32530,161,1125,20,1655,1772,4552
8,B016,B,6.873,Maria Hernandez Park,Neighborhood Park,4.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,894,Maria Hernandez Park,46,17431799.1451,46450,12380,30876,3200,6901,4512,2921,14336,18298,3708,615,4206,50,16881,2694,32336
9,B017,B,2.783,Bushwick Playground 1,Jointly Operated Playground,4.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,194,Bushwick Playground 1,47,14375886.761,38801,10643,24610,3547,5667,3826,2520,12018,11484,7855,505,2649,27,13952,2332,26896
10,B018,B,132.2,Canarsie Park,Community Park,0.0,0.0,2.0,13.0,0.0,4.0,2.0,1.0,202,Canarsie Park,26,20095788.1255,29193,7250,18273,3669,3095,2981,3903,9974,3198,22673,98,1475,2,905,841,2733
11,B019,B,1.874,Carroll Park,Neighborhood Park,0.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,212,Carroll Park,42,13506101.2536,26177,4848,18210,3115,1973,2492,7590,12054,21238,1136,51,1769,10,865,1104,3279
12,B021,B,10.391,Commodore Barry Park,Community Park,8.0,0.0,2.0,3.0,0.0,6.0,0.0,1.0,284,Commodore Barry Park,28,9706265.13405,23822,5605,15042,3175,4880,1959,2510,9352,6081,10339,157,3366,15,2603,1261,6166
13,B022,B,1.101,Middleton Playground,Playground,4.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,933,Middleton Playground,36,11637013.739,41527,21575,17651,2300,5691,2347,1655,9691,34763,2942,117,642,29,2361,673,5412
14,B023,B,0.517,Lafayette Playground,Playground,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,795,Lafayette Playground,46,12658553.988,28260,7249,17887,3128,4752,3027,2473,10252,5429,14911,275,1125,22,5181,1317,10858
15,B025,B,6.401,Cooper Park,Neighborhood Park,4.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,297,Cooper Park,20,9568653.79032,15663,1943,11795,1926,2328,1717,2960,7006,10650,1392,66,1436,10,1453,661,4177
16,B026,B,1.158,Cuyler Gore Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,323,Cuyler Gore Park,52,15205773.4789,29561,4403,21888,3269,3447,3160,7485,14095,14673,9191,89,2556,9,1206,1831,3628
17,B028,B,216.655,Dyker Beach Park,Community Park,16.0,9.0,7.0,12.0,0.0,10.0,0.0,1.0,383,Dyker Beach Park,47,25947485.8172,31697,6692,19170,5837,3372,3433,5331,12129,21190,314,43,8305,11,1192,639,3061
18,B032,B,30.168,Fort Greene Park,Community Park,0.0,6.0,1.0,0.0,0.0,4.0,0.0,2.0,470,Fort Greene Park,54,19769873.7941,42111,7944,28993,5174,6469,4365,7774,18611,16256,15482,198,4519,10,3053,2590,7622
19,B035,B,5.317,John Paul Jones Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754,John Paul Jones Park,14,6769805.27282,10333,1877,6740,1715,1404,1590,2262,5257,7831,309,32,1407,9,426,320,1307
20,B036,B,0.214,Fort Stirling Park,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474,Fort Stirling Park,20,4630564.09772,16275,2670,10683,2923,1068,1481,5387,7937,12942,859,44,1634,1,265,534,1061
21,B038,B,1.987,Fulton Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503,Fulton Park,45,15979041.1813,31220,8165,19358,3703,5501,3830,3002,12333,2027,25597,141,879,2,1494,1079,3764
22,B040,B,14.257,Grand Army Plaza,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549,Grand Army Plaza,53,16515548.6146,38892,6829,27464,4592,3185,3864,11262,18308,25138,7366,100,3017,19,1164,2088,3770
23,B042,B,6.379,Gravesend Park,Neighborhood Park,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,561,Gravesend Park,37,17386606.6754,29767,11644,14627,3501,2934,2542,2830,8308,23922,174,27,4523,11,758,349,1652
24,B043,B,0.504,Greenpoint Playground,Playground,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,569,Greenpoint Playground,12,6232236.10812,10116,1203,7794,1119,1480,1270,1897,4650,7321,257,45,926,11,1139,415,2515
25,B044,B,1.361,Dr. Ronald McNair Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,Dr. Ronald McNair Park,36,9723551.18177,30026,5854,20565,3605,4682,3229,4922,12830,8378,17265,90,1676,22,1156,1444,3352
26,B047,B,45.059,Highland Flagship Park,Flagship Park,10.0,18.0,4.0,1.0,0.0,6.0,0.0,2.0,636,Highland Flagship Park,32,19214743.3758,28605,8391,17489,2725,3270,2708,2323,8304,6977,7599,375,1764,32,9885,1965,18815
27,B047A,B,0.41,Highland Park Childrens Garden,Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637,Highland Park Childrens Garden,21,9935043.28773,18864,5541,11513,1807,2155,1776,1561,5493,4410,5263,240,1089,22,6571,1271,12345
28,B049,B,2.76,Irving Square Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,715,Irving Square Park,44,15767584.1578,38975,10906,24398,3673,5532,3893,2760,12186,9577,12266,502,1228,60,13114,2227,25135
29,B050,B,5.739,Van Voorhees Park,Neighborhood Park,9.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,1704,Van Voorhees Park,37,10250754.992,25320,4359,17624,3335,1445,2111,8550,12109,20007,1014,33,2433,10,722,1097,2480
30,B051,B,3.449,Kelly Neighborhood Park,Neighborhood Park,4.0,7.0,1.0,2.0,0.0,4.0,0.0,1.0,773,Kelly Neighborhood Park,36,15016411.3161,27936,6899,16152,4886,4070,3052,3324,10449,21191,346,33,4930,3,839,590,1959
31,B052,B,16.8,Leif Ericson Park,Neighborhood Park,0.0,10.0,8.0,1.0,0.0,7.0,0.0,1.0,810,Leif Ericson Park,73,27387912.5799,66355,16319,41945,8090,8006,6660,6516,21181,26250,1021,283,30757,13,6063,1965,13340
32,B054,B,17.14,Lincoln Terrace / Arthur S. Somers Park,Community Park,14.0,11.0,4.0,1.0,0.0,8.0,0.0,1.0,821,Lincoln Terrace / Arthur S. Somers Park,66,21951655.6096,60245,17030,36321,6895,11096,6760,4295,22154,5460,49066,289,474,29,2929,1999,7456
33,B055,B,4.044,Sternberg Park,Playground,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1598,Sternberg Park,49,16882824.2237,53900,16375,32020,5507,9339,4866,4027,18235,32629,4572,381,5077,41,9164,2045,20581
34,B056,B,2.29,Martin Luther King Jr. Playground,Playground,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,903,Martin Luther King Jr. Playground,47,16979996.6415,35994,11024,21155,3821,5939,3361,2479,11779,3192,26249,270,319,39,4454,1470,10474
35,B057,B,798.0,Marine Park,Community Park,26.0,15.0,19.0,18.0,0.0,11.0,1.0,3.0,896,Marine Park,51,36568981.5745,38007,8501,21765,7744,4116,3594,6793,14503,28440,2794,58,5010,15,882,809,3460
